strasse,stadtteil
Vatterstraße,Seckbach
"Am Stockborn",Praunheim
"Am Treutengraben",Praunheim
Heilmannstraße,Praunheim
"Vilbeler Landstraße",Seckbach
Wallfahrtsweg,Seckbach
Wichernstraße,Seckbach
"Wilhelmshöher Straße",Seckbach
Zeuläckerstraße,Seckbach
"Am Hopfengarten",Rödelheim
Heinrich-Tessenow-Weg,Praunheim
Nidaforum,Praunheim
"Am Lohwald",Hausen
"An der Litzelwiese",Hausen
Mühlwiesenstraße,Hausen
Kurzgasse,Rödelheim
Johanna-Kirchner-Straße,Praunheim
"Treisberger Straße",Praunheim
Westring,Praunheim
Josef-Wirmer-Straße,Praunheim
Kolbenbergstraße,Praunheim
Haingrabenstraße,Praunheim
Ludwig-Gehm-Weg,Praunheim
Muckermannstraße,Praunheim
"An den Pflanzländern",Praunheim
Augustenburgstraße,Praunheim
Kracauerstraße,Praunheim
Messelweg,Praunheim
"Praunheimer Hohl",Praunheim
Willy-Berking-Straße,Praunheim
Dietrichstraße,Praunheim
Graebestraße,Praunheim
Ohlengarten,Praunheim
Pützerstraße,Praunheim
Alt-Praunheim,Praunheim
"Am Alten Schloß",Praunheim
"An den Postwiesen",Praunheim
"Am Ebelfeld",Praunheim
"Am Hofgut",Praunheim
"An den Geiselwiesen",Praunheim
"An der Bitz",Praunheim
"An der Praunheimer Mühle",Praunheim
"An der Litzelwiese",Praunheim
Hammarskjöldring,Praunheim
Karl-Klee-Weg,Praunheim
"Praunheimer Weg",Praunheim
Bernadottestraße,Praunheim
Bertholdstraße,Praunheim
"Bommersheimer Straße",Praunheim
Buchbornstraße,Praunheim
Camillo-Sitte-Weg,Praunheim
Damaschkeanger,Praunheim
Erich-Ollenhauer-Ring,Praunheim
Eugen-Hartmann-Straße,Praunheim
Ferdinand-Kramer-Straße,Praunheim
Fritz-Schumacher-Weg,Praunheim
Geschwister-Scholl-Straße,Praunheim
Gontardstraße,Praunheim
Guerickestraße,Praunheim
Heerstraße,Praunheim
Heinrich-Lübke-Straße,Praunheim
Eberstadtstraße,Praunheim
Egestraße,Praunheim
Holzweg,Praunheim
"Im Burgfeld",Praunheim
"Im Weimel",Praunheim
"In den Grummetwiesen",Praunheim
"In der Römerstadt",Praunheim
Jean-Albert-Schwarz-Straße,Praunheim
Kollwitzstraße,Praunheim
"Kransberger Weg",Praunheim
Ludwig-Landmann-Straße,Praunheim
Muthesiusweg,Praunheim
Rudolf-Hilferding-Straße,Praunheim
Sandplackenstraße,Praunheim
Marienstraße,Bahnhofsviertel
Schalkwiesenweg,Praunheim
"Reifenberger Straße",Praunheim
Walter-Schwagenscheidt-Platz,Praunheim
Schinkelstraße,Praunheim
"Schönberger Weg",Praunheim
Oberfeldstraße,Praunheim
"Oberhöchstädter Weg",Praunheim
"Steinbacher Hohl",Praunheim
Stephan-Heise-Straße,Praunheim
"Stierstädter Straße",Praunheim
Theodor-Fischer-Weg,Praunheim
"Verlängerung Ludwig-Landmann-Straße",Praunheim
Olbrichstraße,Praunheim
"Praunheimer Brücke",Praunheim
"Praunheimer Landstraße",Praunheim
Ziegeleiallee,Praunheim
Zillestraße,Praunheim
"Reinborner Weg",Rödelheim
"Zufahrt Parkplatz",Rödelheim
"Breidensteiner Weg",Rödelheim
Dörrwiesenstraße,Rödelheim
Kirschbaumweg,Rödelheim
Oelmühlgasse,Rödelheim
Wehrhofstraße,Rödelheim
Winterstraße,Rödelheim
"Biedenkopfer Weg",Rödelheim
"Hattsteiner Straße",Rödelheim
Sternbrücke,Rödelheim
Stichelstraße,Rödelheim
"Bottenhorner Weg",Rödelheim
Biegweg,Rödelheim
Haltebucht,Rödelheim
"In der Au",Rödelheim
Alexanderstraße,Rödelheim
"Am Alten See",Rödelheim
Alt-Rödelheim,Rödelheim
Wolf-Heidenheim-Straße,Rödelheim
"Am Köstrich",Rödelheim
"Am Rödelheimer Wehr",Rödelheim
"Am Seedamm",Rödelheim
"Arnoldshainer Straße",Rödelheim
"Assenheimer Straße",Rödelheim
"Auf der Insel",Rödelheim
Baruch-Baschwitz-Platz,Rödelheim
"Battenberger Weg",Rödelheim
Friedel-Schomann-Weg,Rödelheim
Inselgäßchen,Rödelheim
Josef-May-Straße,Rödelheim
Taunusstraße,Innenstadt
Kalkentalstraße,Rödelheim
Breitlacherstraße,Rödelheim
Burgfriedenstraße,Rödelheim
"Eschborner Landstraße",Rödelheim
Fasanenweg,Rödelheim
Ferdinand-Kramer-Straße,Rödelheim
Flußgasse,Rödelheim
Friedrich-Kahl-Straße,Rödelheim
Fuchstanzstraße,Rödelheim
Garage,Rödelheim
"Gladenbacher Weg",Rödelheim
Dreispitzstraße,Rödelheim
"An den Drei Steinen",Preungesheim
Holzweg,Rödelheim
"Im Füldchen",Rödelheim
Gaugrafenstraße,Rödelheim
"Glashüttener Straße",Rödelheim
Gontardstraße,Rödelheim
Graf-Vollrath-Weg,Rödelheim
Guerickestraße,Rödelheim
"Reifenberger Straße",Rödelheim
"Auf der Platte",Preungesheim
Börneplatz,Innenstadt
"Hausener Weg",Rödelheim
Heerstraße,Rödelheim
Kleemannstraße,Rödelheim
"Langer Weg",Rödelheim
Lehrbergerstraße,Rödelheim
"Lixfelder Weg",Rödelheim
Lohoffstraße,Rödelheim
"Lorscher Straße",Rödelheim
Ludwig-Landmann-Straße,Rödelheim
Margaretenstraße,Rödelheim
Oberwiesenstraße,Preungesheim
Marquardstraße,Rödelheim
Niddagaustraße,Rödelheim
"Rödelheimer Bahnweg",Rödelheim
"Rödelheimer Landstraße",Rödelheim
"Rödelheimer Parkweg",Rödelheim
Röderichstraße,Rödelheim
Schenckstraße,Rödelheim
"Schmittener Straße",Rödelheim
Schreberweg,Rödelheim
Trümpertstraße,Rödelheim
Schultheißenweg,Rödelheim
"Seelenberger Straße",Rödelheim
Seegewann,Rödelheim
Strubbergstraße,Rödelheim
"An der Lühe",Hausen
Stützeläckerweg,Rödelheim
Teststrecke_Links,Rödelheim
Teststrecke_Rechts,Rödelheim
Thudichumstraße,Rödelheim
"Trampelpfad entlang der Bahnlinie, auf den Bahnsteig muß mann klettern",Rödelheim
Prießnitzstraße,Rödelheim
Radilostraße,Rödelheim
Bachmannstraße,Hausen
"Rebstöcker Weg",Rödelheim
Reichsburgstraße,Rödelheim
Westerbachstraße,Rödelheim
Grundwiesenstraße,Rödelheim
Zentmarkweg,Rödelheim
Brendelstraße,Hausen
Roßbachstraße,Hausen
"Am Ellerfeld",Hausen
Pfannmüllerstraße,Hausen
"Im Waldfeld",Hausen
Alt-Hausen,Hausen
"An den Postwiesen",Hausen
"Herchenhainer Weg",Preungesheim
"Am Fischstein",Hausen
"Am Hirtenacker",Hausen
"Hausener Obergasse",Hausen
"Im Eichwäldchen",Hausen
"Im Vogelsgesang",Hausen
"Am Hohen Weg",Hausen
"Am Industriehof",Hausen
"Am Niddatal",Hausen
"Am Spritzenhaus",Hausen
"Am Ziehgraben",Hausen
Friedrich-Wilhelm-von-Steuben-Straße,Hausen
Gießfeldstraße,Hausen
"Große Nelkenstraße",Hausen
"Hausener Weg",Hausen
"Hausener Brückweg",Hausen
"In den Waldgärten",Hausen
"Kleine Nelkenstraße",Hausen
Langweidenstraße,Hausen
Lindenallee,Hausen
"Hinterm Bachberg",Preungesheim
Weinstraße,Preungesheim
"Am Lausberg",Preungesheim
Kantapfelstraße,Preungesheim
Simon-Ochs-Straße,Preungesheim
Ludwig-Landmann-Straße,Hausen
Mühlwehrstraße,Hausen
Peter-Zenger-Straße,Hausen
"Praunheimer Landstraße",Hausen
Kirchhofsweg,Bonames
"Im Klingenfeld","Frankfurter Berg"
Ribisweg,Berkersheim
Renettenstraße,Preungesheim
"Am Nonnenhof",Preungesheim
"An der Wolfsweide",Preungesheim
Niemandsfeld,Preungesheim
"Am Jessenapfel",Preungesheim
Braumannstraße,Preungesheim
Alkmenestraße,Preungesheim
Alt-Preungesheim,Preungesheim
"Am Borsdorfer",Preungesheim
"Am Dachsberg",Preungesheim
"Am Dorfgarten",Preungesheim
"Am Klarapfel",Preungesheim
"Am Wasserturm",Preungesheim
"An den Drei Hohen",Preungesheim
Sterlepperstraße,Preungesheim
August-Schanz-Straße,Preungesheim
Bilsteinweg,Preungesheim
Boßstraße,Preungesheim
Boskoopstraße,Preungesheim
Festeburgring,Preungesheim
Flutgraben,Preungesheim
"Friedberger Landstraße",Preungesheim
Geiselsteinweg,Preungesheim
Marbachweg,Preungesheim
"Obere Kreuzäckerstraße",Preungesheim
Niederbornstraße,Preungesheim
"Gießener Straße",Preungesheim
Goldpeppingstraße,Preungesheim
Gravensteiner-Platz,Preungesheim
Gundelandstraße,Preungesheim
Herrenapfelstraße,Preungesheim
Hochschildstraße,Preungesheim
Hofhausstraße,Preungesheim
Hoherodskopfstraße,Preungesheim
Jean-Monnet-Straße,Preungesheim
Ronneburgstraße,Preungesheim
"Homburger Landstraße",Preungesheim
Huswertstraße,Preungesheim
Jaspertstraße,Preungesheim
Konrad-Hoenen-Weg,Preungesheim
Krälingweg,Preungesheim
Kreuzstraße,Preungesheim
Zorbachstraße,Preungesheim
Oberwiesenweg,Preungesheim
Theobald-Ziegler-Straße,Preungesheim
Viehtrieb,Preungesheim
Walter-Hesselbach-Straße,Preungesheim
Wegscheidestraße,Preungesheim
Weilbrunnstraße,Preungesheim
"Wetzlarer Straße",Preungesheim
"Am Bachberg",Preungesheim
"Am Ulmenrück","Frankfurter Berg"
Lupinenweg,"Frankfurter Berg"
Robert-Gernhardt-Brücke,"Frankfurter Berg"
Sonnentaustraße,"Frankfurter Berg"
"An der Lindenallee","Frankfurter Berg"
Azaleenweg,"Frankfurter Berg"
Luzernenweg,"Frankfurter Berg"
"Friedrichsdorfer Straße",Bonames
"Berkersheimer Weg","Frankfurter Berg"
"Bonameser Straße","Frankfurter Berg"
Clematisweg,"Frankfurter Berg"
Fliederweg,"Frankfurter Berg"
Geranienweg,"Frankfurter Berg"
Ginsterweg,"Frankfurter Berg"
Glockenblumenweg,"Frankfurter Berg"
Hagebuttenweg,"Frankfurter Berg"
Heinrich-Plett-Straße,"Frankfurter Berg"
Ebereschenweg,"Frankfurter Berg"
Holunderweg,"Frankfurter Berg"
"Homburger Landstraße","Frankfurter Berg"
"Im Hilgenfeld","Frankfurter Berg"
"In den Gräben","Frankfurter Berg"
Jasminweg,"Frankfurter Berg"
Julius-Brecht-Straße,"Frankfurter Berg"
Kaiserkronenweg,"Frankfurter Berg"
Lavendelweg,"Frankfurter Berg"
Walnußweg,"Frankfurter Berg"
Ligusterweg,"Frankfurter Berg"
Malvenweg,"Frankfurter Berg"
Margeritenweg,"Frankfurter Berg"
Wacholderweg,"Frankfurter Berg"
Rotdornweg,"Frankfurter Berg"
Sanddornweg,"Frankfurter Berg"
Schlehenweg,"Frankfurter Berg"
"Oberer Ornberg","Frankfurter Berg"
Tagetesweg,"Frankfurter Berg"
Petunienweg,"Frankfurter Berg"
Prämäckerweg,"Frankfurter Berg"
Weißdornweg,"Frankfurter Berg"
Porthstraße,Eckenheim
Wickenweg,"Frankfurter Berg"
"Gonzenheimer Straße",Bonames
"Homburger Hohl",Bonames
Weinstraße,Eckenheim
Casparistraße,Eckenheim
Grotefendstraße,Eckenheim
Peter-Henlein-Straße,Eckenheim
Adolf-Leweke-Straße,Eckenheim
"Am Eckenheimer Friedhof",Eckenheim
"An der Fischerweide",Eckenheim
Barchfeldstraße,Eckenheim
"Büdinger Straße",Eckenheim
Christoph-Knips-Straße,Eckenheim
Walnußweg,Eckenheim
"Dubliner Straße",Gallus
"Engelthaler Straße",Eckenheim
Feldscheidenstraße,Eckenheim
Feuerwehrstraße,Eckenheim
Ronneburgstraße,Eckenheim
Schliemannweg,Eckenheim
"Schottener Straße",Eckenheim
"Gederner Straße",Eckenheim
Gummersbergstraße,Eckenheim
"Gießener Straße",Eckenheim
Ginsterweg,Eckenheim
"Hirzenhainer Straße",Eckenheim
Dörpfeldstraße,Eckenheim
"Massenheimer Straße",Bonames
"Am Honigberg",Berkersheim
"Eckenheimer Landstraße",Eckenheim
"Eckenheimer Schulstraße",Eckenheim
Hügelstraße,Eckenheim
Niedergärtenstraße,Eckenheim
Jean-Monnet-Straße,Eckenheim
Karl-Lachmann-Straße,Eckenheim
Karl-von-Drais-Straße,Eckenheim
Kirschwaldstraße,Eckenheim
Kurzröderstraße,Eckenheim
Alt-Bonames,Bonames
Marbachweg,Eckenheim
Max-Leichter-Weg,Eckenheim
Matternstraße,Eckenheim
Niederbornstraße,Eckenheim
Senefelderweg,Eckenheim
Sigmund-Freud-Straße,Eckenheim
Steinkleestraße,Eckenheim
Taufsteinweg,Eckenheim
Viehtrieb,Eckenheim
Ben-Gurion-Ring,Bonames
"Dornholzhäuser Straße",Bonames
"Köpperner Straße",Bonames
"Am Burghof",Bonames
"Am Wendelsgarten",Bonames
"An der Wehrmauer",Bonames
"Auf der Steinern Straße",Bonames
"Bonameser Hintergasse",Bonames
"Bonameser Mittelgasse",Bonames
"Bonameser Hainstraße",Bonames
Brandhöfchen,Bonames
"Heldenbergener Straße",Bonames
Fleckenbühlstraße,Bonames
Mühlackerstraße,Bonames
Friedrich-Stampfer-Straße,Bonames
Galgenstraße,Bonames
"Harheimer Weg",Bonames
"Homburger Landstraße",Bonames
Hugo-Sinzheimer-Straße,Bonames
"Im Storchenhain",Bonames
"Kalbacher Hauptstraße",Bonames
"Kalbacher Niddapfad",Bonames
Leutholdstraße,Bonames
Ludwig-Ruppel-Straße,Bonames
Monchstraße,Bonames
Schwertmannstraße,Bonames
"Oberer Kalbacher Weg",Bonames
"Seulberger Straße",Bonames
Theodor-Thomas-Straße,Bonames
"Unterer Kalbacher Weg",Bonames
Pfarrgäßchen,Bonames
Rauschenbachstraße,Bonames
Berberitzenweg,Berkersheim
"An der Roseneller",Berkersheim
"Am Dachsberg",Berkersheim
"Am Herrenhof",Berkersheim
"Am Hohlacker",Berkersheim
Garbenstraße,Gutleutviertel
"Am Kalten Berg",Berkersheim
"Am Neuenberg",Berkersheim
"Am Schieferstein",Berkersheim
"Am Traubengarten",Berkersheim
"Auf der Kuhr",Berkersheim
"Auf der Sandeller",Berkersheim
August-Schanz-Straße,Berkersheim
"Berkersheimer Bahnstraße",Berkersheim
"Berkersheimer Hohl",Berkersheim
"Berkersheimer Obergasse",Berkersheim
"Berkersheimer Untergasse",Berkersheim
Buchsbaumweg,Berkersheim
Heiligenstockweg,Berkersheim
Eibenweg,Berkersheim
"Im Geiersrain",Berkersheim
Mainluststraße,Bahnhofsviertel
"Im Klingenfeld",Berkersheim
"Im Steinbügel",Berkersheim
"Im Wiesengarten",Berkersheim
"In den Gräben",Berkersheim
"In der Roterde",Berkersheim
Oberwiesenweg,Berkersheim
Prämäckerweg,Berkersheim
"Madrider Straße",Gallus
"Weilburger Straße",Gallus
Goetheplatz,Innenstadt
Westhafenplatz,Gutleutviertel
"Niederräder Brücke",Gutleutviertel
Kaiserpassage,Bahnhofsviertel
"Düsseldorfer Straße",Bahnhofsviertel
Kaiserstraße,Bahnhofsviertel
"Am Hauptbahnhof",Bahnhofsviertel
"Baseler Straße",Bahnhofsviertel
Wiesenhüttenplatz,Bahnhofsviertel
Gutleutstraße,Bahnhofsviertel
Elbestraße,Bahnhofsviertel
Holbeinsteg,Bahnhofsviertel
Karlstraße,Bahnhofsviertel
Wilhelm-Leuschner-Straße,Bahnhofsviertel
Windmühlstraße,Bahnhofsviertel
"Mainzer Landstraße",Bahnhofsviertel
"Mannheimer Straße",Bahnhofsviertel
Helmut-Walcha-Straße,Gallus
Moselstraße,Bahnhofsviertel
"Münchener Straße",Bahnhofsviertel
Niddastraße,Bahnhofsviertel
Taunusstraße,Bahnhofsviertel
Taunusanlage,Bahnhofsviertel
Theatertunnel,Bahnhofsviertel
"Unter der Friedensbrücke",Bahnhofsviertel
Untermainanlage,Bahnhofsviertel
Untermainkai,Bahnhofsviertel
"Platz der Republik",Bahnhofsviertel
Wiesenhüttenstraße,Bahnhofsviertel
Weserstraße,Bahnhofsviertel
Westendstraße,Bahnhofsviertel
"Altenhainer Straße",Gallus
"Londoner Straße",Gallus
"Maastrichter Ring",Gallus
"Mammolshainer Straße",Gallus
Tevesstraße,Gallus
"Waldemser Straße",Gallus
"Weilbacher Straße",Gallus
"Wickerer Straße",Gallus
"Düsseldorfer Straße",Gallus
Hellerhofstraße,Gallus
Kaiserstraße,Gallus
"Sodener Straße",Gallus
"Fischbacher Straße",Gallus
"Hattersheimer Straße",Gallus
"Karlsruher Straße",Gallus
Parkhauseinfahrt,Gallus
Ackermannstraße,Gallus
Adam-Riese-Straße,Gallus
"Am Hauptbahnhof",Gallus
"Eppenhainer Straße",Gallus
Pfarrer-Perabo-Platz,Gallus
"Am Römerhof",Gallus
"Anspacher Straße",Gallus
Erbbaustraße,Gallus
"Athener Straße",Gallus
"Bischofsheimer Platz",Gallus
"Bischofsheimer Straße",Gallus
"Baseler Straße",Gallus
"Baustellenzufahrt EuropaViertel West.",Gallus
"Münsterer Straße",Gallus
"Brüsseler Straße",Gallus
Hafenstraße,Gallus
"Camberger Straße",Gallus
Cordierstraße,Gallus
"Den Haager Straße",Gallus
Denisweg,Gallus
"Emser Brücke",Gallus
Europa-Allee,Gallus
Europa-Allee-Tunnel,Gallus
"Flörsheimer Straße",Gallus
"Im Galluspark",Gallus
"Josbacher Straße",Gallus
"Kelkheimer Straße",Gallus
Hafentunnel,Gallus
Harry-Fuld-Straße,Gallus
Heinrichstraße,Gallus
Ehingerstraße,Gallus
Frankenallee,Gallus
Friedrich-Ebert-Anlage,Gallus
Golub-Lebedenko-Platz,Gallus
Gutenbergstraße,Gallus
"Kleine Friedberger Straße",Innenstadt
Günderrodestraße,Gallus
Gustavsburgstraße,Gallus
Güterplatz,Gallus
"Kameruner Rosengärtchen",Gallus
Hermann-Eggert-Straße,Gallus
Herxheimerstraße,Gallus
Hohenstaufenstraße,Gallus
"Hornauer Straße",Gallus
Hufnagelstraße,Gallus
"Idsteiner Straße",Gallus
"Lissabonner Straße",Gallus
"Lorsbacher Straße",Gallus
Ludwigstraße,Gallus
"Platz der Einheit",Gallus
Kleyerstraße,Gallus
Knorrstraße,Gallus
"Koblenzer Straße",Gallus
"Kölner Straße",Gallus
"Kostheimer Straße",Gallus
"Kleine Hochstraße",Innenstadt
Kriegkstraße,Gallus
"Krifteler Straße",Gallus
"Kronthaler Straße",Gallus
Lahnstraße,Gallus
"Langenhainer Straße",Gallus
Ottostraße,Gallus
"Mannheimer Straße",Gallus
"Marxheimer Platz",Gallus
"Marxheimer Straße",Gallus
Mönchhofstraße,Gallus
"Neuenhainer Straße",Gallus
Niddastraße,Gallus
"Römischer Ring",Gallus
Rudolfstraße,Gallus
"Rüsselsheimer Straße",Gallus
"Mainzer Landstraße",Gallus
"Schwalbacher Straße",Gallus
"Sindlinger Straße",Gallus
"Ruppertshainer Straße",Gallus
"Schloßborner Straße",Gallus
Rathenauplatz,Innenstadt
Schmidtstraße,Gallus
"Schneidhainer Straße",Gallus
Sondershausenstraße,Gallus
"Speyerer Straße",Gallus
Stephensonstraße,Gallus
Steuernagelstraße,Gallus
"Straße der Nationen",Gallus
"Stuttgarter Straße",Gallus
"Sulzbacher Straße",Gallus
Taunusstraße,Gallus
"Wörsdorfer Straße",Gallus
"Zum Messeparkhaus Rebstock",Gallus
Schützenstraße,Innenstadt
Albusstraße,Innenstadt
Bleidenstraße,Innenstadt
"Osloer Straße",Gallus
"Pariser Straße",Gallus
Wilhelm-Schickard-Straße,Gallus
"Platz der Republik",Gallus
Poststraße,Gallus
"Rebstöcker Straße",Gallus
"Wallauer Straße",Gallus
"Warschauer Straße",Gallus
Rechneigrabenstraße,Innenstadt
Weißfrauenstraße,Innenstadt
Krögerstraße,Innenstadt
Parkhauseinfahrt,Innenstadt
Rahmhofstraße,Innenstadt
Töngesgasse,Innenstadt
Katharinenpforte,Innenstadt
Rosenbergerstraße,Innenstadt
"Alte Brücke",Innenstadt
Neckarstraße,Innenstadt
Allerheiligenstraße,Innenstadt
Allerheiligentor,Innenstadt
"Alte Rothofstraße",Innenstadt
"Friedberger Anlage",Innenstadt
Heiligkreuzgasse,Innenstadt
Kaiserstraße,Innenstadt
Friedensstraße,Innenstadt
"Großer Hirschgraben",Innenstadt
Hasengasse,Innenstadt
Kurt-Schumacher-Straße,Innenstadt
Mainstraße,Innenstadt
"Alte Gasse",Innenstadt
"Am Salzhaus",Innenstadt
"Am Städelshof",Innenstadt
"An der Hauptwache",Innenstadt
Schneidwallgasse,Innenstadt
Battonnstraße,Innenstadt
"Berliner Straße",Innenstadt
Brückhofstraße,Innenstadt
Bethmannstraße,Innenstadt
Biebergasse,Innenstadt
Bleichgartengässchen,Innenstadt
Bleichstraße,Innenstadt
Blumenstraße,Innenstadt
"Bockenheimer Landstraße",Innenstadt
"Große Gallusstraße",Innenstadt
Gutleutstraße,Innenstadt
Hammelsgasse,Innenstadt
"Hanauer Landstraße",Innenstadt
"Hinter der Schönen Aussicht",Innenstadt
"Bockenheimer Anlage",Innenstadt
Börsenstraße,Innenstadt
"Breite Gasse",Innenstadt
Brönnerstraße,Innenstadt
"Große Bockenheimer Straße",Innenstadt
"Große Eschenheimer Straße",Innenstadt
"Große Friedberger Straße",Innenstadt
Elefantengasse,Innenstadt
Hochstraße,Innenstadt
"Eschenheimer Anlage",Innenstadt
"Eschenheimer Tor",Innenstadt
Fahrgasse,Innenstadt
Fichtestraße,Innenstadt
Fischerfeldstraße,Innenstadt
"Friedberger Landstraße",Innenstadt
"Friedberger Tor",Innenstadt
Gallusanlage,Innenstadt
Gelbehirschstraße,Innenstadt
Gerichtsstraße,Innenstadt
Goethestraße,Innenstadt
Hofstraße,Innenstadt
Holzgraben,Innenstadt
Ignatz-Bubis-Brücke,Innenstadt
Reuterweg,Innenstadt
Junghofstraße,Innenstadt
Kaiserhofstraße,Innenstadt
"Kalbächer Gasse",Innenstadt
Katzenpforte,Innenstadt
Kirchnerstraße,Innenstadt
Klapperfeldstraße,Innenstadt
"Kleine Bockenheimer Straße",Innenstadt
"Kleiner Hirschgraben",Innenstadt
Klingerstraße,Innenstadt
Reineckstraße,Innenstadt
Konrad-Adenauer-Straße,Innenstadt
Schärfengäßchen,Innenstadt
Scheffelstraße,Innenstadt
Schillerstraße,Innenstadt
"Lange Straße",Innenstadt
Leerbachstraße,Innenstadt
Liebfrauenstraße,Innenstadt
Liesel-Christ-Anlage,Innenstadt
Luginsland,Innenstadt
Meisengasse,Innenstadt
"Münchener Straße",Innenstadt
"Neue Kräme",Innenstadt
"Neue Mainzer Straße",Innenstadt
"Neue Rothofstraße",Innenstadt
"Neue Schlesingergasse",Innenstadt
Roßmarkt,Innenstadt
Schäfergasse,Innenstadt
"Schöne Aussicht",Innenstadt
Schwedenkronenplatz,Innenstadt
Obermainanlage,Innenstadt
Seilerstraße,Innenstadt
Steinweg,Innenstadt
Steinweg-Passage,Innenstadt
Stephanstraße,Innenstadt
Sternstraße,Innenstadt
Stiftstraße,Innenstadt
Stoltzestraße,Innenstadt
Weißadlergasse,Innenstadt
Taubenstraße,Innenstadt
Taunusanlage,Innenstadt
Taunustor,Innenstadt
Theatertunnel,Innenstadt
Untermainanlage,Innenstadt
Untermainbrücke,Innenstadt
Untermainkai,Innenstadt
"Vilbeler Straße",Innenstadt
Oskar-von-Miller-Straße,Innenstadt
Ostendstraße,Innenstadt
Petersstraße,Innenstadt
Porzellanhofstraße,Innenstadt
"Griesheimer Stadtweg",Gutleutviertel
Gutleuthofweg,Gutleutviertel
Zeil,Innenstadt
Zwingergasse,Innenstadt
"Zoo Passage",Innenstadt
Bachforellenweg,Gutleutviertel
Friedensbrücke,Gutleutviertel
"Griesheimer Fußweg",Gutleutviertel
"Am Elektrizitätswerk",Gutleutviertel
Halmstraße,Gutleutviertel
"Heidelberger Straße",Gutleutviertel
Main-Neckar-Brücke,Gutleutviertel
Westhafenbrücke,Gutleutviertel
"Karlsruher Straße",Gutleutviertel
Ährenstraße,Gutleutviertel
Hermann-Eggert-Straße,Gutleutviertel
Hirtenstraße,Gutleutviertel
Wilhelm-Leuschner-Straße,Gutleutviertel
"Baseler Platz",Gutleutviertel
"Baseler Straße",Gutleutviertel
Hardenbergstraße,Gutleutviertel
"Heilbronner Straße",Gutleutviertel
"Unter der Friedensbrücke",Gutleutviertel
Untermainkai,Gutleutviertel
"Camberger Straße",Gutleutviertel
Wiesenhüttenplatz,Gutleutviertel
Erntestraße,Gutleutviertel
"Esslinger Straße",Gutleutviertel
Flusskrebssteg,Gutleutviertel
Karpfenweg,Gutleutviertel
"Pforzheimer Straße",Gutleutviertel
Werftstraße,Gutleutviertel
Wiesenhüttenstraße,Gutleutviertel
Wurzelstraße,Gutleutviertel
"Mannheimer Straße",Gutleutviertel
Rotfeder-Ring,Gutleutviertel
"Rottweiler Platz",Gutleutviertel
"Rottweiler Straße",Gutleutviertel
Schleusenstraße,Gutleutviertel
Schönstraße,Gutleutviertel
"Lange Schirn",Altstadt
Leonhardskirchhof,Altstadt
Gutleutstraße,Gutleutviertel
Hafenstraße,Gutleutviertel
Hafentunnel,Gutleutviertel
Speicherstraße,Gutleutviertel
Stichlingstraße,Gutleutviertel
"Stuttgarter Straße",Gutleutviertel
Zanderstraße,Gutleutviertel
"Großer Hirschgraben",Altstadt
"Neue Kräme",Altstadt
"Neue Mainzer Straße",Altstadt
Neugasse,Altstadt
Friedensstraße,Altstadt
"An der Kleinmarkthalle",Altstadt
Blauhandgasse,Altstadt
Drachengäßchen,Altstadt
Mainkai,Altstadt
"Seckbächer Gasse",Altstadt
Kannengießergasse,Altstadt
Karmelitergasse,Altstadt
Katharinenpforte,Altstadt
"Zum Pfarrturm",Altstadt
"Am Holzpförtchen",Altstadt
Bleidenstraße,Altstadt
Hasengasse,Altstadt
Konstablerwache,Altstadt
Kruggasse,Altstadt
Kurt-Schumacher-Straße,Altstadt
"Nürnberger Hof",Altstadt
Töngesgasse,Altstadt
"Alte Mainzer Gasse",Altstadt
"Alte Brücke",Altstadt
"Am Geistpförtchen",Altstadt
"Am Leonhardstor",Altstadt
"Am Salzhaus",Altstadt
"An der Staufenmauer",Altstadt
Barfüßergasse,Altstadt
Schneidwallgasse,Altstadt
Battonnstraße,Altstadt
Bendergasse,Altstadt
Samstagsberg,Altstadt
"Berliner Straße",Altstadt
Bethmannstraße,Altstadt
Braubachstraße,Altstadt
Buchgasse,Altstadt
Weibleinsgasse,Altstadt
Fahrgasse,Altstadt
Fahrtor,Altstadt
Garküchenplatz,Altstadt
"Gläsern Gäßchen",Altstadt
Graf-de-Thoranc-Passage,Altstadt
"Große Fischerstraße",Altstadt
"Hainer Hof",Altstadt
Dominikanergasse,Altstadt
Domplatz,Altstadt
Domstraße,Altstadt
"Eiserner Steg",Altstadt
"Hinter dem Lämmchen",Altstadt
Höllgasse,Altstadt
"Im Rebstock",Altstadt
"Im Trierischen Hof",Altstadt
Karpfengasse,Altstadt
"Kleine Fischergasse",Altstadt
"Kleiner Hirschgraben",Altstadt
Kornmarkt,Altstadt
Limpurgergasse,Altstadt
Markt,Altstadt
Münzgasse,Altstadt
Saalgasse,Altstadt
Sandgasse,Altstadt
Sandhofpassage,Altstadt
Schärfengäßchen,Altstadt
"Schöne Aussicht",Altstadt
Schwertfegergäßchen,Altstadt
Theatertunnel,Altstadt
Untermainkai,Altstadt
Rathaushof,Altstadt
Reineckstraße,Altstadt
Weckmarkt,Altstadt
Weißadlergasse,Altstadt
Weißfrauenstraße,Altstadt
Rapunzelgäßchen,Altstadt
Ziegelgasse,Altstadt
"Weidenauer Straße",Sossenheim
Ahornschneise,Flughafen
Butznickelweg,Zeilsheim
De-Saint-Exupéry-Straße,Flughafen
Eysseneckschneise,Flughafen
